91 54 52 Aaren
68 80 87 Aarika
69 96 68 Abagael
74 63 78 Abagail
82 100 86 Abbe
79 69 83 Abbey
62 92 92 Abbi
81 84 99 Abbie
53 69 57 Abby
73 80 87 Abbye
60 93 95 Abigael
62 97 72 Abigail
81 74 72 Abigale
91 78 52 Abra
80 91 80 Ada
74 81 57 Adah
95 65 87 Adaline
71 59 58 Adan
86 92 91 Adara
91 70 100 Adda
93 94 56 Addi
87 78 75 Addia
54 58 91 Addie
97 93 76 Addy
56 75 71 Adel
82 52 97 Adela
59 64 92 Adelaida
70 73 70 Adelaide
88 96 91 Adele
86 93 59 Adelheid
83 56 64 Adelice
93 92 75 Adelina
57 54 56 Adelind
89 88 90 Adeline
99 54 67 Adella
91 54 94 Adelle
100 83 66 Adena
83 56 90 Adey
95 54 58 Adi
97 99 66 Adiana
79 63 58 Adina
68 69 86 Adora
55 67 57 Adore
62 55 62 Adoree
64 73 96 Adorne
54 76 97 Adrea
63 59 92 Adria
82 87 69 Adriaens
62 94 80 Adrian
59 87 63 Adriana
85 54 56 Adriane
87 72 55 Adrianna
61 99 95 Adrianne
78 64 63 Adriena
59 70 87 Adrienne
62 58 81 Aeriel
53 53 73 Aeriela
80 87 54 Aeriell
91 53 75 Afton
67 63 78 Ag
98 60 72 Agace
99 99 71 Agata
61 75 57 Agatha
98 83 53 Agathe
97 84 91 Aggi
58 57 73 Aggie
76 62 89 Aggy
53 77 70 Agna
72 95 86 Agnella
70 61 81 Agnes
62 100 64 Agnese
86 90 57 Agnesse
52 81 77 Agneta
93 83 73 Agnola
65 73 64 Agretha
51 97 85 Aida
80 55 66 Aidan
96 91 76 Aigneis
87 66 98 Aila
65 66 67 Aile
92 85 83 Ailee
62 77 57 Aileen
55 59 66 Ailene
67 77 84 Ailey
95 54 83 Aili
63 56 56 Ailina
61 63 78 Ailis
53 94 76 Ailsun
73 92 71 Ailyn
61 89 75 Aime
61 96 91 Aimee
95 65 69 Aimil
53 86 82 Aindrea
91 89 82 Ainslee
51 93 58 Ainsley
100 68 84 Ainslie
72 57 82 Ajay
93 100 83 Alaine
97 85 99 Alameda
80 63 73 Alana
53 97 54 Alanah
64 53 61 Alane
74 74 92 Alanna
51 97 98 Alayne
80 88 80 Alberta
61 84 67 Albertina
58 77 72 Albertine
78 99 53 Albina
55 72 97 Alecia
78 91 94 Aleda
52 77 58 Aleece
75 62 90 Aleen
89 81 88 Alejandra
76 94 98 Alejandrina
54 97 92 Alena
84 64 81 Alene
63 79 87 Alessandra
83 99 73 Aleta
88 63 98 Alethea
80 87 87 Alex
65 91 82 Alexa
54 96 95 Alexandra
96 61 100 Alexandrina
51 94 62 Alexi
71 69 82 Alexia
63 90 85 Alexina
69 56 61 Alexine
92 64 59 Alexis
85 98 59 Alfi
78 61 85 Alfie
81 81 69 Alfreda
73 95 77 Alfy
75 83 77 Ali
62 88 52 Alia
94 97 59 Alica
74 95 65 Alice
100 65 84 Alicea
63 75 94 Alicia
100 63 77 Alida
57 92 85 Alidia
88 61 75 Alie
73 77 80 Alika
92 78 99 Alikee
57 86 78 Alina
93 60 95 Aline
99 94 55 Alis
61 91 94 Alisa
58 85 85 Alisha
93 73 60 Alison
76 66 85 Alissa
73 70 72 Alisun
100 72 80 Alix
89 78 56 Aliza
59 92 89 Alla
72 56 56 Alleen
52 95 93 Allegra
52 68 65 Allene
88 56 52 Alli
99 98 88 Allianora
81 92 59 Allie
55 84 53 Allina
97 76 59 Allis
96 63 87 Allison
53 93 84 Allissa
66 79 52 Allix
65 58 89 Allsun
86 82 91 Allx
70 66 79 Ally
78 59 58 Allyce
81 53 53 Allyn
82 59 72 Allys
71 91 71 Allyson
81 74 53 Alma
88 79 72 Almeda
75 51 56 Almeria
81 99 51 Almeta
77 77 87 Almira
89 93 82 Almire
72 59 66 Aloise
54 78 59 Aloisia
81 89 90 Aloysia
81 77 79 Alta
97 72 91 Althea
52 88 61 Alvera
99 82 83 Alverta
89 75 92 Alvina
71 61 88 Alvinia
60 86 97 Alvira
74 92 63 Alyce
63 87 93 Alyda
66 59 74 Alys
56 90 88 Alysa
74 73 83 Alyse
83 94 64 Alysia
67 99 99 Alyson
85 95 80 Alyss
82 96 62 Alyssa
89 56 90 Amabel
87 96 55 Amabelle
85 73 84 Amalea
